age,gender,annual_income,monthly_income,employment_status,employment_duration,existing_debt,monthly_expenses,savings,loan_amount,loan_purpose,loan_term,existing_loans,credit_history_length,previous_defaults,late_payments,payment_behaviour,credit_utilization,outstanding_credit_balance,target
60,female,83429.19,6952.43,student,2.6,3770.44,3403.75,3157.83,13044.1,debt_consolidation,36,0,43.8,0,0,consistent,0.63,3025.11,1
47,male,66412.37,5534.36,employed,0.6,25126.29,3735.09,4916.35,15073.62,personal,36,1,27.9,0,0,minor_delays,0.18,20658.15,0
42,male,50584.6,4215.38,unemployed,0.0,7962.59,1507.51,26072.66,21999.0,medical,36,2,20.3,0,1,consistent,0.433,6084.73,0
42,not_specified,51741.11,4311.76,employed,0.0,0.0,2652.92,25610.8,5627.5,medical,48,3,23.2,0,0,consistent,0.384,0.0,0
31,female,12000.0,1000.0,self_employed,1.3,12482.32,830.97,14998.29,21699.37,education,48,1,11.5,0,0,consistent,0.742,3947.77,0
25,female,68698.65,5724.89,employed,8.0,14416.12,5032.14,2482.84,19814.02,debt_consolidation,36,0,6.0,1,1,consistent,0.413,5600.73,0
47,female,83982.56,6998.55,employed,0.0,0.0,3816.0,7283.89,500.0,auto,24,2,27.4,0,1,consistent,0.497,0.0,1
63,male,21033.9,1752.82,employed,0.0,12511.04,1255.35,20700.85,36736.81,debt_consolidation,36,4,38.9,1,0,consistent,0.571,5138.71,0
24,female,44803.16,3733.6,self_employed,12.7,23415.76,1789.47,2427.31,33068.95,auto,48,3,6.4,0,1,minor_delays,0.255,10832.24,0
62,female,31905.92,2658.83,self_employed,3.0,18414.75,1779.61,9129.91,8193.81,debt_consolidation,36,1,37.1,0,1,minor_delays,0.818,15752.83,0
60,not_specified,36900.87,3075.07,employed,6.8,39757.54,1521.53,1382.01,4653.31,auto,12,2,35.2,0,1,minor_delays,0.793,27596.03,0
34,female,63390.52,5282.54,unemployed,8.1,28013.31,3569.27,6812.06,19508.57,business,36,4,6.7,0,0,consistent,0.334,7693.7,0
51,female,12000.0,1000.0,student,8.2,30387.21,500.0,11922.64,1315.5,medical,60,0,28.3,1,2,consistent,0.219,21418.16,0
28,male,77971.03,6497.59,self_employed,0.0,46601.03,5760.13,55300.29,32007.11,debt_consolidation,48,4,10.1,0,0,minor_delays,0.109,35214.12,0
57,not_specified,81600.23,6800.02,self_employed,4.6,22097.88,5817.71,5643.76,11847.01,medical,12,2,35.0,0,0,poor,0.331,18547.17,1
54,not_specified,55471.33,4622.61,employed,0.0,14956.84,2505.66,26635.04,34839.88,debt_consolidation,36,3,32.1,0,1,consistent,0.694,10164.47,1
38,female,12000.0,1000.0,employed,15.3,24684.88,792.7,15826.37,7931.56,personal,36,1,16.6,2,0,minor_delays,0.108,6590.75,0
24,male,36093.12,3007.76,employed,0.0,6289.16,1216.45,9834.96,15765.78,auto,48,3,6.7,0,1,minor_delays,0.671,4626.9,1
67,not_specified,94055.45,7837.95,employed,1.3,14292.24,6050.95,4588.86,30939.34,debt_consolidation,24,4,45.0,1,1,minor_delays,0.329,9424.44,1
42,male,12000.0,1000.0,employed,1.3,5227.27,511.0,15875.41,13444.37,education,48,0,21.5,0,3,consistent,0.403,2714.49,0
63,female,52964.39,4413.7,employed,0.0,17775.81,1886.04,20564.58,19993.01,debt_consolidation,72,3,41.3,0,0,minor_delays,0.808,13018.59,1
53,male,31319.98,2610.0,self_employed,10.9,5177.09,1922.44,3944.47,29019.25,business,36,3,27.8,0,0,consistent,0.38,2938.43,0
58,male,82918.83,6909.9,employed,15.2,4756.86,4268.87,6839.17,10883.48,education,36,2,35.5,0,0,consistent,0.282,4055.71,1
57,male,44447.04,3703.92,employed,3.6,17961.68,2415.62,8239.34,3120.87,auto,12,2,41.5,0,1,consistent,0.119,15305.46,1
30,male,72502.8,6041.9,self_employed,0.2,11347.46,3907.31,24787.76,954.18,business,12,3,8.4,1,2,irregular,0.774,4060.29,1
38,female,76701.97,6391.83,employed,0.0,0.0,2453.73,5565.45,23417.76,auto,60,3,16.8,0,2,minor_delays,0.742,0.0,1
43,male,109741.87,9145.16,employed,4.5,0.0,3468.64,8711.41,21276.56,debt_consolidation,72,0,21.0,0,0,consistent,0.128,0.0,1
44,female,56723.51,4726.96,contract,4.2,0.0,3274.2,33578.87,28678.29,business,12,1,19.5,0,0,consistent,0.337,0.0,1
23,female,71777.15,5981.43,employed,2.9,2404.34,4220.51,18469.51,13985.51,personal,60,5,3.8,0,1,minor_delays,0.319,856.34,0
47,female,23388.56,1949.05,employed,6.4,17973.08,734.58,1376.53,1261.89,home,24,0,20.7,0,1,irregular,0.31,10035.14,0
28,male,92950.75,7745.9,contract,7.1,15627.27,4381.93,8555.26,500.0,debt_consolidation,36,2,1.6,0,0,consistent,0.446,3132.5,1
56,male,42226.77,3518.9,self_employed,6.8,25783.35,2460.85,23553.53,48547.59,debt_consolidation,48,1,36.4,0,0,minor_delays,0.151,19440.16,1
53,male,47420.39,3951.7,self_employed,4.2,22033.62,2862.25,5437.44,22796.15,business,36,1,30.5,1,0,consistent,0.525,6858.14,1
65,male,61421.56,5118.46,employed,1.1,25862.84,4207.98,9282.68,18504.71,personal,36,2,45.0,0,1,consistent,0.53,10135.28,1
56,male,21365.01,1780.42,contract,8.2,20300.75,1050.12,23968.9,20065.04,education,48,3,36.1,0,0,consistent,0.58,6545.72,0
38,male,67948.02,5662.34,employed,5.6,15516.15,3751.34,6948.27,1255.27,education,24,1,21.3,0,1,consistent,0.5,6947.63,1
67,male,87154.12,7262.84,employed,9.1,26192.22,4937.13,13282.25,8256.41,home,72,1,44.7,0,0,consistent,0.424,6650.8,1
40,female,69616.28,5801.36,self_employed,8.7,24032.95,3062.34,1001.46,36176.63,business,24,1,22.0,0,1,consistent,0.532,19256.05,1
36,male,20688.66,1724.06,employed,0.0,17513.14,656.31,8395.02,24241.82,home,12,3,12.0,0,0,consistent,0.215,8589.57,0
64,male,58780.96,4898.41,self_employed,0.0,28252.86,1726.24,1983.13,8600.43,debt_consolidation,72,1,42.9,0,0,consistent,0.409,23928.87,1
38,male,81292.75,6774.4,student,2.5,0.0,5599.66,9920.06,3505.03,auto,36,3,19.9,0,1,minor_delays,0.178,0.0,1
24,male,13172.29,1097.69,employed,1.3,9514.44,509.47,2914.59,11327.36,auto,36,1,10.2,1,1,consistent,0.245,3052.4,0
43,female,34056.08,2838.01,employed,8.5,9330.51,2012.84,1844.33,13530.26,medical,36,5,22.7,0,0,minor_delays,0.508,7325.19,0
59,not_specified,84790.13,7065.84,self_employed,6.9,26832.19,4797.12,6282.9,39540.61,education,12,0,36.2,1,1,consistent,0.221,14077.98,0
30,not_specified,69022.48,5751.87,student,9.9,31856.74,3323.38,12650.7,14929.06,auto,36,0,9.6,0,0,consistent,0.461,7696.91,1
43,female,72711.26,6059.27,employed,7.1,0.0,4999.45,19312.69,3914.93,auto,36,3,19.8,0,1,consistent,0.423,0.0,1
27,not_specified,110346.86,9195.57,self_employed,6.3,29934.01,6879.11,2068.1,16355.37,education,36,1,11.3,0,0,consistent,0.406,24737.38,1
53,male,74182.37,6181.86,employed,10.3,0.0,2243.79,2221.32,19907.72,home,36,2,36.6,0,0,consistent,0.677,0.0,1
43,female,79105.09,6592.09,contract,7.4,0.0,5225.65,76490.73,2913.99,home,60,1,21.7,0,0,consistent,0.683,0.0,1
36,male,132479.38,11039.95,employed,5.8,10188.57,7054.41,6899.62,21423.82,personal,60,3,12.6,0,0,consistent,0.582,8435.18,1
31,female,56441.08,4703.42,self_employed,11.4,9181.52,2576.54,4025.37,30298.08,education,36,0,3.3,0,0,irregular,0.53,6127.25,1
48,male,41255.05,3437.92,self_employed,6.0,0.0,2627.69,1999.17,18525.38,personal,72,3,23.7,0,3,minor_delays,0.648,0.0,1
53,male,73122.71,6093.56,employed,4.3,20798.54,4515.68,10941.77,8232.28,medical,60,3,32.8,0,0,consistent,0.528,11024.27,1
66,female,73413.77,6117.81,student,2.1,21152.83,3224.3,3805.03,11182.43,education,60,2,45.0,0,0,consistent,0.278,14525.11,1
41,female,48305.4,4025.45,student,8.3,25648.5,3664.5,6832.54,500.0,debt_consolidation,48,2,24.0,0,0,minor_delays,0.667,15620.54,0
28,female,35157.68,2929.81,employed,10.4,7798.54,2108.77,90.92,15527.81,auto,24,1,5.9,0,1,consistent,0.278,2489.31,1
60,female,122055.95,10171.33,employed,5.3,12525.01,7072.07,1420.14,20418.58,home,24,2,43.5,1,0,minor_delays,0.707,7526.04,1
51,male,70497.93,5874.83,self_employed,10.7,12634.87,2290.19,1107.68,7137.04,home,60,1,26.6,0,3,irregular,0.281,10713.22,1
54,male,42960.58,3580.05,employed,0.0,33255.95,1823.0,4790.83,38336.7,education,36,5,30.0,0,1,consistent,0.756,14687.92,0
25,male,85814.19,7151.18,employed,5.3,0.0,4324.86,7661.24,25715.07,home,60,2,2.0,0,0,consistent,0.324,0.0,1
35,male,59162.23,4930.19,employed,5.3,1516.67,3497.75,3496.34,500.0,debt_consolidation,48,3,6.9,0,0,consistent,0.578,745.08,1
57,male,55425.08,4618.76,employed,2.6,13066.49,2966.51,2004.3,500.0,home,24,2,35.8,0,1,consistent,0.748,8911.87,0
60,female,76619.09,6384.92,self_employed,15.0,0.0,5011.71,5531.92,6175.74,education,36,0,39.0,0,1,consistent,0.244,0.0,1
41,male,28411.06,2367.59,employed,5.2,9900.16,1183.0,21879.52,34305.04,auto,72,1,22.3,1,1,irregular,0.522,5286.09,0
59,female,71168.31,5930.69,employed,3.9,11487.09,4449.38,5786.67,26800.14,debt_consolidation,12,6,36.3,0,2,consistent,0.773,2677.6,1
61,male,111736.83,9311.4,unemployed,5.6,5107.77,7593.08,2186.71,34860.83,business,48,1,36.6,0,2,consistent,0.454,1967.39,0
39,male,74120.62,6176.72,employed,0.0,13773.63,4855.39,2813.16,17112.3,debt_consolidation,72,0,17.1,0,1,consistent,0.747,5787.25,0
64,male,52218.49,4351.54,employed,2.5,20537.79,3435.03,4149.78,14695.62,debt_consolidation,24,3,43.7,0,0,consistent,0.35,14638.18,1
34,female,48815.26,4067.94,employed,9.4,10164.8,3483.98,433.57,3277.4,home,36,2,15.0,0,0,minor_delays,0.491,4852.69,1
32,female,51331.16,4277.6,contract,3.0,7561.66,1702.41,3722.33,20846.52,education,36,0,9.8,0,0,consistent,0.517,3514.76,1
53,male,55396.97,4616.41,student,2.2,11010.82,3450.3,4940.77,14842.15,debt_consolidation,60,2,32.2,0,0,consistent,0.352,5638.69,1
51,male,52177.03,4348.09,employed,10.7,12910.76,3922.61,24499.76,14418.61,debt_consolidation,36,0,28.0,0,3,minor_delays,0.59,6486.22,0
27,male,85824.1,7152.01,contract,10.9,0.0,4841.77,19994.01,34798.56,debt_consolidation,12,2,4.4,0,0,minor_delays,0.628,0.0,1
60,male,16936.56,1411.38,employed,7.6,18538.65,668.81,6891.28,15610.2,education,24,3,34.6,0,0,consistent,0.086,12406.36,0
30,male,84412.0,7034.33,self_employed,3.7,7587.99,6466.59,4557.52,31640.8,debt_consolidation,36,5,6.3,0,0,consistent,0.586,5569.64,1
59,male,52128.15,4344.01,employed,4.5,28138.42,1952.92,2427.36,500.0,auto,36,1,41.1,0,1,minor_delays,0.231,9713.07,0
21,male,71800.64,5983.39,employed,2.3,20092.64,3238.62,4441.62,46569.23,debt_consolidation,24,3,0.0,1,0,consistent,0.75,14446.91,0
59,male,32698.31,2724.86,contract,1.5,27040.8,1220.94,740.42,12894.02,education,60,0,40.3,0,0,consistent,0.733,11014.76,0
58,male,96544.41,8045.37,employed,1.3,867.95,4946.07,2138.22,24779.02,debt_consolidation,12,4,36.5,0,1,consistent,0.15,173.63,1
58,female,94386.51,7865.54,employed,3.0,8543.36,4630.91,6881.47,26529.0,auto,60,1,34.4,0,0,consistent,0.095,5533.61,1
52,male,86949.35,7245.78,self_employed,1.4,0.0,4564.89,31085.68,11529.08,home,60,4,37.6,0,0,consistent,0.149,0.0,1
43,male,22616.38,1884.7,employed,0.0,4537.71,1656.56,16723.08,26009.33,business,48,4,21.9,0,0,irregular,0.326,1218.81,1
54,female,83557.15,6963.1,student,6.4,28025.27,4335.54,16259.81,26581.03,debt_consolidation,48,1,32.0,0,1,minor_delays,0.216,6411.96,1
34,female,72526.23,6043.85,employed,6.4,30849.89,3888.23,9205.83,9155.41,debt_consolidation,24,3,14.6,0,1,poor,0.271,19264.35,0
58,female,20262.95,1688.58,employed,12.3,0.0,1444.43,32465.33,9285.7,auto,36,1,38.5,0,3,poor,0.532,0.0,0
47,male,61368.27,5114.02,self_employed,2.8,7500.67,4173.67,3658.7,17498.38,personal,36,3,24.4,0,2,consistent,0.279,5748.63,0
43,male,71477.9,5956.49,employed,6.7,12085.65,2898.68,1095.78,15729.57,medical,36,4,22.3,1,0,consistent,0.177,5431.47,1
45,male,76457.96,6371.5,employed,6.8,20027.27,2276.97,1632.97,32324.43,personal,48,1,20.2,2,0,minor_delays,0.622,8704.35,0
48,female,66608.8,5550.73,employed,4.5,0.0,3934.44,328.34,24729.35,auto,12,3,27.1,0,1,irregular,0.311,0.0,1
22,male,69572.02,5797.67,contract,8.5,0.0,4821.13,5329.28,16225.34,auto,36,6,0.0,0,1,minor_delays,0.516,0.0,1
27,female,100313.9,8359.49,unemployed,8.6,18875.51,5560.1,13741.48,23666.86,education,48,3,5.3,0,1,consistent,0.37,12976.5,1
32,male,93876.88,7823.07,self_employed,6.8,0.0,3679.75,4266.5,500.0,home,36,7,7.8,1,1,consistent,0.469,0.0,0
26,male,12000.0,1000.0,contract,4.5,7638.43,772.57,13490.63,10231.58,debt_consolidation,24,7,7.0,0,1,poor,0.076,5610.09,0
42,female,53746.6,4478.88,contract,4.1,14945.1,3276.92,6623.08,20166.03,debt_consolidation,12,1,20.6,0,0,consistent,0.715,8291.04,0
53,male,57719.07,4809.92,contract,0.0,17987.99,3232.6,2216.37,29269.02,personal,36,3,30.2,0,0,irregular,0.206,16030.6,1
52,male,16445.44,1370.45,employed,2.3,11299.38,1154.06,4906.79,19197.46,education,36,5,29.0,0,1,consistent,0.368,6347.62,0
43,male,64448.76,5370.73,employed,3.0,8610.92,4280.57,337.27,33040.63,home,36,1,27.9,0,0,irregular,0.345,3447.18,1
62,male,94467.7,7872.31,self_employed,1.0,23134.85,5752.55,1752.43,26547.34,education,24,2,45.0,0,0,consistent,0.115,16953.2,1
48,not_specified,33749.24,2812.44,unemployed,7.3,16422.47,2050.02,16385.32,11628.38,business,48,1,27.4,0,1,poor,0.501,3621.21,0
24,female,70746.42,5895.54,student,10.3,5235.8,4288.74,13284.81,15459.66,auto,72,0,5.7,0,0,consistent,0.43,3702.98,1
57,female,38188.59,3182.38,employed,1.9,13452.67,2066.46,19475.26,21492.64,debt_consolidation,48,3,34.6,0,1,minor_delays,0.51,7805.59,0
48,female,44530.29,3710.86,student,6.6,17598.03,2280.08,9481.2,12065.01,business,36,1,27.3,1,0,consistent,0.676,5683.35,0
51,male,100412.23,8367.69,employed,1.4,33618.85,6313.19,1801.92,33844.19,home,48,1,33.7,0,0,consistent,0.042,7291.0,1
48,female,47893.5,3991.12,employed,4.3,22435.88,2785.73,32599.22,4804.01,debt_consolidation,60,1,24.9,0,1,consistent,0.34,5218.73,1
47,female,74017.52,6168.13,student,2.7,27574.68,3881.53,1098.6,20477.17,auto,72,2,25.2,0,0,minor_delays,0.519,7093.61,1
25,male,13348.33,1112.36,employed,7.9,5672.71,500.0,4123.44,25089.91,debt_consolidation,12,4,3.0,0,0,consistent,0.112,3071.24,0
47,female,110420.26,9201.69,self_employed,2.8,6709.81,6902.18,554.95,13552.08,business,24,1,21.8,0,0,minor_delays,0.008,4665.4,1
59,male,77668.96,6472.41,employed,9.5,10175.44,4648.61,5295.35,11073.21,home,24,3,41.1,0,0,consistent,0.77,2988.14,1
35,female,57255.0,4771.25,retired,4.5,11277.13,2600.72,931.36,16163.11,education,60,2,9.5,0,0,minor_delays,0.833,3510.33,0
49,female,76964.21,6413.68,employed,2.9,903.7,3547.44,2316.22,25931.98,auto,12,1,28.1,0,0,consistent,0.144,695.68,1
22,male,25344.69,2112.06,self_employed,0.5,28191.2,1036.24,12561.46,11501.67,auto,60,1,0.0,0,1,irregular,0.433,10136.04,0
37,not_specified,92745.8,7728.82,employed,6.5,23600.22,6942.73,2784.1,5241.87,debt_consolidation,12,0,15.5,0,2,consistent,0.618,18397.13,1
41,female,53576.4,4464.7,employed,9.1,9331.87,3751.75,169.26,29656.43,debt_consolidation,48,2,20.0,0,1,irregular,0.431,2487.24,0
68,female,56694.19,4724.52,employed,6.6,20700.53,3164.47,9654.48,21392.26,debt_consolidation,36,5,42.8,0,0,consistent,0.219,16267.5,1
31,female,49216.95,4101.41,employed,14.5,15674.79,2374.48,4187.59,28086.43,home,36,3,14.8,0,0,consistent,0.71,11173.12,1
34,not_specified,46903.06,3908.59,employed,11.2,21637.94,3009.58,2101.82,25352.65,debt_consolidation,36,0,16.2,0,1,irregular,0.414,6564.24,1
40,female,80061.44,6671.79,employed,4.3,0.0,4342.03,5905.76,40978.78,auto,48,1,22.6,0,1,consistent,0.141,0.0,1
68,male,68653.58,5721.13,unemployed,4.2,11252.07,5184.69,4368.68,29264.69,business,36,4,45.0,1,0,minor_delays,0.236,4874.15,1
61,male,78945.45,6578.79,employed,7.4,12303.54,2509.28,13582.0,9035.12,education,36,4,44.1,1,1,consistent,0.676,3613.43,1
22,male,61771.34,5147.61,self_employed,2.1,20483.71,1902.26,8070.48,22172.95,auto,48,2,3.2,0,0,minor_delays,0.606,9504.09,0
32,female,75343.2,6278.6,self_employed,10.2,5458.75,4232.46,3998.74,10867.62,home,60,0,6.7,1,0,consistent,0.566,3681.84,1
60,male,51109.93,4259.16,contract,6.9,0.0,1984.21,1017.23,12004.61,personal,60,2,35.0,0,0,consistent,0.401,0.0,1
23,not_specified,119973.03,9997.75,employed,6.5,19.6,6942.97,2097.14,1462.5,auto,48,4,2.0,0,1,irregular,0.099,6.71,1
62,female,21233.81,1769.48,employed,8.2,12267.42,1407.47,6144.53,13852.75,home,36,1,42.1,0,1,consistent,0.214,8651.59,1
34,male,94784.37,7898.7,employed,12.4,13766.61,3386.35,12036.45,22995.38,debt_consolidation,60,5,9.6,0,1,minor_delays,0.485,5323.03,1
65,not_specified,97565.59,8130.47,employed,6.2,33204.98,4887.6,10134.7,16273.76,debt_consolidation,36,3,40.7,0,1,irregular,0.782,7628.93,1
35,female,39843.87,3320.32,employed,5.0,19992.96,2465.47,4907.56,4906.95,business,60,1,17.1,1,0,consistent,0.176,6722.51,0
41,male,119961.11,9996.76,self_employed,11.5,13978.36,8250.35,13733.67,500.0,debt_consolidation,60,1,24.7,0,0,consistent,0.619,6144.41,1
52,female,87882.75,7323.56,contract,9.4,12611.3,4635.2,2752.1,40230.31,home,24,2,30.9,0,0,consistent,0.133,2839.25,1
27,female,87249.61,7270.8,contract,4.2,26250.2,3399.15,666.18,20576.77,debt_consolidation,12,1,0.7,0,1,irregular,0.626,7001.23,1
47,female,62728.58,5227.38,student,5.5,5918.67,3575.04,13002.22,7935.24,home,48,3,31.5,0,1,poor,0.674,2659.69,1
45,male,56352.12,4696.01,employed,6.3,11316.59,2860.22,11606.39,22079.62,business,48,5,19.5,0,0,irregular,0.521,9587.54,1
58,female,56555.37,4712.95,contract,6.9,0.0,3723.22,1765.54,41081.05,debt_consolidation,48,3,43.0,1,2,consistent,0.573,0.0,1
68,female,72153.8,6012.82,employed,0.1,30026.87,4008.61,2140.37,23825.09,debt_consolidation,72,0,45.0,0,0,consistent,0.402,25644.89,1
52,male,98430.84,8202.57,student,0.0,17709.99,4177.33,22031.14,500.0,medical,36,0,33.2,0,0,irregular,0.285,4003.62,1
40,female,66714.17,5559.51,employed,2.0,4509.72,4336.44,11665.85,46175.21,business,36,2,23.1,0,1,irregular,0.059,3642.36,1
40,female,38302.47,3191.87,self_employed,1.6,11626.54,2059.13,2743.01,500.0,personal,36,1,13.3,0,0,consistent,0.555,3429.69,0
41,female,83435.1,6952.93,self_employed,2.9,19115.81,3137.17,2085.39,14733.87,debt_consolidation,12,2,19.9,0,2,consistent,0.403,6993.73,0
60,female,85949.92,7162.49,employed,8.0,9991.37,4805.68,22979.77,4532.55,business,36,2,37.3,0,1,consistent,0.609,2699.88,0
36,female,79021.15,6585.1,employed,4.8,6586.35,5864.31,10596.58,8859.98,debt_consolidation,60,0,15.7,0,1,minor_delays,0.755,3213.07,0
29,male,81382.97,6781.91,unemployed,6.3,5148.72,5100.98,920.57,20128.51,auto,12,3,12.3,0,3,consistent,0.873,1759.4,0
37,not_specified,54955.87,4579.66,employed,0.6,17067.54,2382.88,786.76,500.0,education,60,1,17.2,1,1,consistent,0.233,12246.76,1
22,male,37846.28,3153.86,contract,3.7,8703.35,2381.79,4903.36,16007.3,debt_consolidation,60,4,0.0,0,1,irregular,0.743,6339.94,0
26,not_specified,39426.97,3285.58,employed,7.8,7554.91,1679.21,10820.81,29620.77,auto,24,3,0.1,1,1,consistent,0.425,3047.21,1
25,male,19477.96,1623.16,employed,7.9,0.0,1070.2,6854.78,7724.36,debt_consolidation,60,4,2.5,0,1,consistent,0.22,0.0,1
58,not_specified,68160.66,5680.06,employed,2.6,13931.69,3692.94,4067.85,1706.86,debt_consolidation,60,2,35.0,0,1,minor_delays,0.603,4382.32,1
55,female,59830.33,4985.86,employed,6.1,10825.32,2448.12,14379.17,15467.64,business,36,2,31.6,0,1,irregular,0.295,2470.09,1
54,female,50560.32,4213.36,employed,14.3,9140.22,2310.15,7065.52,13278.24,debt_consolidation,36,2,35.0,1,1,consistent,0.486,2884.0,1
43,female,12000.0,1000.0,employed,5.4,15385.25,887.04,11221.18,10452.5,auto,36,2,25.9,0,2,poor,0.155,5723.98,0
55,male,29569.75,2464.15,contract,2.7,21976.03,1214.43,302.46,3928.19,business,48,2,31.1,0,0,irregular,0.514,5169.41,0
28,male,91141.86,7595.15,self_employed,4.8,21418.79,6126.14,11008.04,22711.03,auto,36,1,6.6,0,0,consistent,0.42,5929.8,1
64,male,44719.72,3726.64,employed,5.9,19632.74,2721.95,14826.65,23547.9,debt_consolidation,36,4,45.0,1,2,consistent,0.323,8086.57,0
45,not_specified,71375.38,5947.95,self_employed,4.9,10111.96,3887.57,20485.65,5277.89,debt_consolidation,60,0,19.6,1,1,consistent,0.347,8056.32,1
66,female,25842.18,2153.51,unemployed,5.4,6196.02,922.53,4345.47,6800.21,home,48,0,45.0,1,2,consistent,0.412,4949.57,1
28,male,99406.34,8283.86,employed,0.0,473.01,3865.29,13345.08,18501.41,personal,48,2,3.1,0,2,minor_delays,0.293,423.58,1
44,male,58255.28,4854.61,employed,1.6,5882.12,2194.37,1351.21,6385.31,personal,72,5,24.9,1,1,minor_delays,0.138,1579.97,1
54,female,69541.05,5795.09,student,4.9,13235.8,3966.58,12505.9,18965.28,auto,12,2,26.4,0,0,consistent,0.089,2664.22,1
44,male,122470.27,10205.86,employed,4.8,3564.57,9234.55,839.13,33148.51,home,36,5,21.3,0,0,consistent,0.247,2124.22,1
42,male,101427.44,8452.29,unemployed,3.2,14152.69,7184.67,18135.18,16341.95,business,48,4,21.4,0,1,consistent,0.265,8806.82,1
28,female,54029.29,4502.44,retired,4.8,1414.52,1640.66,13013.34,3650.22,medical,36,4,6.6,1,3,consistent,0.371,516.76,0
39,female,46576.28,3881.36,employed,5.7,0.0,1964.06,1117.57,21313.14,auto,24,4,21.5,0,1,consistent,0.465,0.0,0
32,male,53535.83,4461.32,employed,9.1,22832.87,1961.36,2430.66,15045.8,business,60,1,12.5,1,1,consistent,0.134,19845.58,0
35,male,75257.35,6271.45,retired,5.1,7307.02,5682.79,466.24,15348.27,debt_consolidation,12,2,13.4,0,0,irregular,0.573,3157.96,1
